encoder,pc1,pc2,pc3,task,brightness
A_recon,1.5152559,-0.6332324,0.72928107,0.9126833,0.3352398
A_recon,-0.57552195,-0.6817382,1.2844763,0.5151553,0.43127188
A_recon,1.545048,0.49286047,-1.4952341,0.30368406,0.4555932
A_recon,1.8573909,0.46571895,-1.0792007,0.17438391,0.4322306
A_recon,-1.116355,0.46643192,1.3924192,0.48520395,0.4454497
A_recon,0.56545734,0.04001409,0.79978395,0.3762973,0.34469363
A_recon,2.411328,-0.526802,0.97502327,0.6230938,0.1565181
A_recon,-1.5430107,-0.558749,0.104283035,0.49845958,0.6352304
A_recon,1.9526167,1.7377615,0.12725419,0.036959697,0.30740726
A_recon,1.6694179,-1.8421855,0.6757114,0.8330948,0.34394196
A_recon,0.9299743,1.0994952,-1.877892,0.051673938,0.6038136
A_recon,-0.9728074,-0.93423885,1.6649303,0.8275952,0.47667947
A_recon,0.07022524,-0.9511444,-0.87065864,0.8127496,0.61988944
A_recon,-2.5731578,0.38881713,-0.57046413,0.9239831,0.81368995
A_recon,-0.5202031,-0.7715427,1.2416767,0.66440105,0.44001937
A_recon,4.2474294,1.2800539,-0.30161104,0.16062364,0.10972397
A_recon,2.5039873,0.6085034,0.19870222,0.4419294,0.20185244
A_recon,-1.2352333,-1.9359984,-1.6122262,0.43943265,0.7984224
A_recon,-1.8225536,0.13625756,0.42798918,0.632333,0.62448597
A_recon,3.6199465,0.40162668,0.25576627,0.38113752,0.08031129
A_recon,1.8202121,-1.3714242,1.2037562,0.6756781,0.2289452
A_recon,1.9299455,-0.30247366,-0.14336917,0.20390739,0.34962153
A_recon,1.8711782,0.03604904,-0.8869133,0.3533508,0.37089378
A_recon,-2.9156923,0.61769384,-0.4977877,0.5433134,0.7918715
A_recon,-3.9719338,0.818086,-0.38775134,0.42765105,0.8829692
A_recon,0.21625185,0.12745517,-1.1243632,0.12252565,0.6116067
A_recon,-1.3542376,-0.22773242,-0.8420451,0.9658281,0.75925267
A_recon,-0.9002795,-0.84848124,0.3433767,0.6912954,0.5653062
A_recon,2.5240529,-0.9364067,0.19436246,0.83303505,0.26635265
A_recon,-2.0475855,-0.710156,-0.6130425,0.35746074,0.75845176
A_recon,3.9218342,-0.021687746,0.47247136,0.9448959,0.11742511
A_recon,1.3046951,-1.1145954,1.6515925,0.8124471,0.26045558
A_recon,4.076197,-0.45555878,0.23071724,0.97950625,0.12899536
A_recon,1.5641022,0.55707204,-2.076023,0.19739425,0.5446362
