seed,subset,horizon,n,delta_px,delta_lo,delta_hi,frac_boot_favours_A
4,no_bounce,4,217,-0.12079571932554245,-0.1644260585308075,-0.0779981017112732,0.0
4,no_bounce,5,217,-0.14617936313152313,-0.194512739777565,-0.09545832872390747,0.0
4,no_bounce,6,217,-0.13807781040668488,-0.19456975162029266,-0.08196965605020523,0.0
4,no_bounce,7,217,-0.11222723126411438,-0.1773577779531479,-0.04596305638551712,0.0
4,no_bounce,8,217,-0.0894981324672699,-0.16350533068180084,-0.019265450537204742,0.0025
4,no_bounce,9,217,-0.0911581963300705,-0.171129047870636,-0.010803871788084507,0.0095
4,no_bounce,10,217,-0.0839504674077034,-0.16714362800121307,0.0021230275742709637,0.029
4,bounce,1,283,-0.056634530425071716,-0.10437243431806564,-0.010211007669568062,0.009
4,bounce,2,283,0.007284851744771004,-0.03408272936940193,0.046717531979084015,0.646
4,bounce,3,283,0.04807373881340027,0.01107354648411274,0.08593077212572098,0.992
4,bounce,4,283,0.047978971153497696,0.007255535572767258,0.08932608366012573,0.9925
4,bounce,5,283,0.06829939037561417,0.02192576974630356,0.11639974266290665,0.9985
4,bounce,6,283,0.10116998851299286,0.045140501111745834,0.15424218773841858,0.9995
4,bounce,7,283,0.10949907451868057,0.053791869431734085,0.16258937120437622,1.0
4,bounce,8,283,0.09223990887403488,0.03616022691130638,0.14921654760837555,1.0
4,bounce,9,283,0.03857196494936943,-0.017182042822241783,0.09475777298212051,0.9035
4,bounce,10,283,0.018115758895874023,-0.04280006140470505,0.08131018280982971,0.7155
