model,subset,horizon,mae_px_mean,mae_px_std,r2_mean,r2_std,n_seeds,n_traj
baseline_constant,no_bounce,5,2.5752514362335206,0.04983210012776302,0.07045572996139524,0.06369137353828484,5,208
baseline_constant,no_bounce,6,3.0912100315093993,0.06369450463346478,-0.06871578693389888,0.07530543650067169,5,208
baseline_constant,no_bounce,7,3.6081911087036134,0.07209779159212115,-0.15358772277832028,0.0777090950255674,5,208
baseline_constant,no_bounce,8,4.1249772071838375,0.08262814679412557,-0.20131196975708004,0.07560946514797678,5,208
baseline_constant,no_bounce,9,4.645450401306152,0.09160195550951411,-0.2245718002319336,0.07168816071358584,5,208
baseline_constant,no_bounce,10,5.163023662567139,0.10341650916810298,-0.2358063697814941,0.06711127215665634,5,208
baseline_linear,all,1,0.12721006312844105,0.010836116814613961,0.994959766683525,0.0007504339158599403,5,500
baseline_linear,all,2,0.2896548858085298,0.026895916064672204,0.9755807087112544,0.0033233415797667637,5,500
baseline_linear,all,3,0.5153607056286664,0.04526242191450605,0.9359436050063262,0.007846722474348958,5,500
baseline_linear,all,4,0.8221994572341792,0.057983560635101544,0.8684037700216832,0.014607275022293562,5,500
baseline_linear,all,5,1.1962360788457445,0.06574353081773901,0.7659812517840505,0.023656212842796346,5,500
baseline_linear,all,6,1.6350120260828263,0.06337267048719107,0.6218801252967122,0.0334374470065204,5,500
baseline_linear,all,7,2.141853510832145,0.0607029557079073,0.42749120452930417,0.04461238097390381,5,500
baseline_linear,all,8,2.7292256527264835,0.05701232310928123,0.16294786683547124,0.053911659439324015,5,500
baseline_linear,all,9,3.3924612705620816,0.06748856792950418,-0.19224213208051416,0.0639283683902527,5,500
baseline_linear,all,10,4.128232065974695,0.08891919462564431,-0.6704141663144048,0.07376793392367152,5,500
baseline_linear,bounce,1,0.11053036373435407,0.009358861132350819,0.9980074897214621,0.0004031404187262688,5,292
baseline_linear,bounce,2,0.3065371063388744,0.027313560717872724,0.985404551289738,0.002057726204599048,5,292
baseline_linear,bounce,3,0.6148668920741921,0.04746898024134151,0.9544258702551304,0.004104004515533561,5,292
baseline_linear,bounce,4,1.0689609804229547,0.06537954329213631,0.8946420585719675,0.006690940179291724,5,292
baseline_linear,bounce,5,1.6430173830786354,0.08336682948709058,0.794319107692832,0.011853354769460776,5,292
baseline_linear,bounce,6,2.3347285449821333,0.09348819237783097,0.6389954535419344,0.019990024185733944,5,292
baseline_linear,bounce,7,3.144474999814878,0.10268446142977683,0.40438854930999685,0.03247699339412055,5,292
baseline_linear,bounce,8,4.098069600217209,0.097646399456813,0.03732968274575244,0.0482186816590915,5,292
baseline_linear,bounce,9,5.184233978877007,0.09629153962695132,-0.5551788089343249,0.07078976642057018,5,292
baseline_linear,bounce,10,6.399264521187901,0.09652044653791432,-1.5801647912978622,0.10563042810910488,5,292
baseline_linear,no_bounce,1,0.14839377910355928,0.020368345204370114,0.9775959983028535,0.003474281713741601,5,208
baseline_linear,no_bounce,2,0.2674474527675082,0.040824913898872724,0.9066931180305492,0.015800471337782167,5,208
