seed,model,horizon,mse,r2,pred_spread_ratio
1,B_task,10,0.08383378386497498,0.9221188426017761,0.9630465507507324
1,B_task,11,0.08785788714885712,0.9196107983589172,0.963578999042511
1,B_task,12,0.09200402349233627,0.9170538783073425,0.964008092880249
1,B_task,13,0.09623313695192337,0.9144704937934875,0.963901698589325
1,B_task,14,0.0999356284737587,0.9123764038085938,0.9635277390480042
1,B_task,15,0.10304471850395203,0.91080641746521,0.9633628726005554
1,C_scene,0,0.4096021354198456,0.5434702634811401,0.7470923066139221
1,C_scene,1,0.41519105434417725,0.5467169284820557,0.7498250603675842
1,C_scene,2,0.42184653878211975,0.5484575033187866,0.7534878253936768
1,C_scene,3,0.42945531010627747,0.5491573810577393,0.7584710121154785
1,C_scene,4,0.43663331866264343,0.5502362251281738,0.7642669677734375
1,C_scene,5,0.44370588660240173,0.5512968301773071,0.7705260515213013
1,C_scene,6,0.4520599842071533,0.551145613193512,0.7767770886421204
1,C_scene,7,0.46017149090766907,0.5511229038238525,0.7830833196640015
1,C_scene,8,0.46751052141189575,0.5515406131744385,0.7891325950622559
1,C_scene,9,0.47533172369003296,0.551403284072876,0.7947266697883606
1,C_scene,10,0.4825107753276825,0.5517500638961792,0.7999730706214905
1,C_scene,11,0.48904892802238464,0.5525244474411011,0.8043859004974365
1,C_scene,12,0.4951581358909607,0.5535908937454224,0.8081670999526978
1,C_scene,13,0.5001661777496338,0.5554652214050293,0.8115427494049072
1,C_scene,14,0.5042012929916382,0.5579160451889038,0.814437985420227
1,C_scene,15,0.5071247220039368,0.5610423684120178,0.8171197175979614
1,D_latent,0,0.048085909336805344,0.9464049339294434,0.9389835000038147
1,D_latent,1,0.048899248242378235,0.9466144442558289,0.9389305710792542
1,D_latent,2,0.05090998113155365,0.94550621509552,0.9423775672912598
1,D_latent,3,0.05413583293557167,0.9431681632995605,0.9453328847885132
1,D_latent,4,0.05792304128408432,0.9403350949287415,0.9475894570350647
1,D_latent,5,0.06197991594672203,0.9373220205307007,0.9490591883659363
1,D_latent,6,0.0667181983590126,0.9337549209594727,0.9501358866691589
1,D_latent,7,0.07138670980930328,0.9303653836250305,0.9514834880828857
1,D_latent,8,0.0756850615143776,0.9273990988731384,0.9526082277297974
1,D_latent,9,0.08018872886896133,0.9243214726448059,0.9536639451980591
1,D_latent,10,0.08472661674022675,0.9212894439697266,0.954854428768158
1,D_latent,11,0.08925045281648636,0.9183366298675537,0.9555110931396484
1,D_latent,12,0.09393540024757385,0.915312647819519,0.9559840559959412
1,D_latent,13,0.09848397970199585,0.9124699831008911,0.9565812945365906
1,D_latent,14,0.10265376418828964,0.9099931120872498,0.9568402767181396
1,D_latent,15,0.10637958347797394,0.9079198241233826,0.9573078751564026
1,chance,0,0.8988410234451294,-0.0018199682235717773,0.0
1,chance,1,0.9167527556419373,-0.0008608102798461914,0.0
1,chance,2,0.9344831109046936,-0.00026619434356689453,0.0
1,chance,3,0.9525748491287231,-1.4066696166992188e-05,0.0
1,chance,4,0.9708789587020874,-7.522106170654297e-05,0.0
1,chance,5,0.9892796874046326,-0.0004216432571411133,0.0
1,chance,6,1.0081777572631836,-0.0010286569595336914,0.0
1,chance,7,1.0270575284957886,-0.001849532127380371,0.0
1,chance,8,1.0454367399215698,-0.0028350353240966797,0.0
1,chance,9,1.0637931823730469,-0.003960132598876953,0.0
1,chance,10,1.0820099115371704,-0.005181431770324707,0.0
1,chance,11,1.0999692678451538,-0.0064623355865478516,0.0
1,chance,12,1.1178394556045532,-0.0077866315841674805,0.0
1,chance,13,1.1353964805603027,-0.00911092758178711,0.0
1,chance,14,1.1523561477661133,-0.01038658618927002,0.0
1,chance,15,1.1687105894088745,-0.011613965034484863,0.0
1,hold_current,0,0.0,1.0,1.0
1,hold_current,1,0.005201324820518494,0.9943214654922485,0.9897085428237915
1,hold_current,2,0.020197810605168343,0.9783803820610046,0.9799832105636597
1,hold_current,3,0.04361610487103462,0.9542117714881897,0.9705101251602173
1,hold_current,4,0.0734867975115776,0.9243032932281494,0.9613474011421204
1,hold_current,5,0.10822338610887527,0.8905577063560486,0.9525298476219177
1,hold_current,6,0.14702041447162628,0.8540221452713013,0.9438463449478149
1,hold_current,7,0.18884024024009705,0.8157946467399597,0.9355143308639526
1,hold_current,8,0.23289887607097626,0.7765917778015137,0.9277104735374451
1,hold_current,9,0.27917471528053284,0.7365274429321289,0.92018723487854
1,hold_current,10,0.32736924290657043,0.6958757638931274,0.9129629731178284
1,hold_current,11,0.3769385516643524,0.6551045179367065,0.9060560464859009
1,hold_current,12,0.4275391697883606,0.6145526170730591,0.8993757963180542
1,hold_current,13,0.4787136912345886,0.5745316743850708,0.8929811120033264
1,hold_current,14,0.5296626091003418,0.5355914831161499,0.8869456648826599
1,hold_current,15,0.5799064636230469,0.49804383516311646,0.8812527060508728
1,colourblind_true,0,0.5871658325195312,0.3455633521080017,0.5709835886955261
1,colourblind_true,1,0.6030523180961609,0.3416202664375305,0.5682572722434998
1,colourblind_true,2,0.6189725399017334,0.33745479583740234,0.5655094981193542
1,colourblind_true,3,0.6349349021911621,0.3334447145462036,0.5627131462097168
1,colourblind_true,4,0.650883138179779,0.3295435309410095,0.5599342584609985
1,colourblind_true,5,0.6668792963027954,0.32560986280441284,0.5572044849395752
1,colourblind_true,6,0.6829295754432678,0.32191312313079834,0.5545060038566589
1,colourblind_true,7,0.6987490653991699,0.3184009790420532,0.5519205927848816
1,colourblind_true,8,0.7142881751060486,0.31481921672821045,0.5495187640190125
1,colourblind_true,9,0.7297107577323914,0.3113318085670471,0.5473114848136902
1,colourblind_true,10,0.7449685335159302,0.307928204536438,0.5453260540962219
1,colourblind_true,11,0.7600908875465393,0.30452340841293335,0.5435675382614136
1,colourblind_true,12,0.7749795317649841,0.30131828784942627,0.5420575737953186
1,colourblind_true,13,0.7894690036773682,0.298340380191803,0.5407846570014954
1,colourblind_true,14,0.8034918904304504,0.2954978346824646,0.5397392511367798
1,colourblind_true,15,0.8169153928756714,0.2928934097290039,0.5389072895050049
