seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories,rmse_raw_behaviour_data,rmse_raw_planner_trajectories
0,B_task,14,0.8881804347038269,-12.971548080444336,0.12744466960430145,0.6787682771682739
0,B_task,15,0.8855577111244202,-13.313387870788574,0.1297636777162552,0.6915130019187927
0,C_scene,0,-0.08737647533416748,-7.933590888977051,0.35249295830726624,0.5969663858413696
0,C_scene,1,-0.09921741485595703,-8.70930004119873,0.3580923080444336,0.6227508187294006
0,C_scene,2,-0.10975277423858643,-9.538153648376465,0.3633747100830078,0.6496849060058594
0,C_scene,3,-0.11922383308410645,-10.30009937286377,0.3684839606285095,0.6741297245025635
0,C_scene,4,-0.129064679145813,-11.01662826538086,0.3736281096935272,0.696580708026886
0,C_scene,5,-0.13667631149291992,-11.697478294372559,0.37835511565208435,0.7177744507789612
0,C_scene,6,-0.14428913593292236,-12.330806732177734,0.383113831281662,0.737477719783783
0,C_scene,7,-0.15155184268951416,-12.917316436767578,0.3877502679824829,0.7555555701255798
0,C_scene,8,-0.1564723253250122,-13.434718132019043,0.3918466567993164,0.7717682123184204
0,C_scene,9,-0.1609100103378296,-13.91236400604248,0.3958072364330292,0.7869747877120972
0,C_scene,10,-0.16559171676635742,-14.345710754394531,0.3997425138950348,0.800976574420929
0,C_scene,11,-0.16855692863464355,-14.73051929473877,0.4033011794090271,0.8137127161026001
0,C_scene,12,-0.1711270809173584,-15.091571807861328,0.406744122505188,0.82581627368927
0,C_scene,13,-0.17357122898101807,-15.41623306274414,0.4100842773914337,0.8368378281593323
0,C_scene,14,-0.17437124252319336,-15.711946487426758,0.41301465034484863,0.8469682931900024
0,C_scene,15,-0.17497575283050537,-15.987091064453125,0.41579028964042664,0.8564151525497437
0,D_latent,0,0.9533040523529053,-0.6076061725616455,0.07304658740758896,0.24978666007518768
0,D_latent,1,0.9531816840171814,-0.9764492511749268,0.07390281558036804,0.27580374479293823
0,D_latent,2,0.9521259665489197,-1.4360792636871338,0.07547298818826675,0.30469760298728943
0,D_latent,3,0.9500542879104614,-1.9639856815338135,0.0778411477804184,0.33366158604621887
0,D_latent,4,0.9480313658714294,-2.5336875915527344,0.08015870302915573,0.361765593290329
0,D_latent,5,0.9459519982337952,-3.154242515563965,0.08250325173139572,0.3894810378551483
0,D_latent,6,0.9429492354393005,-3.8001179695129395,0.08554421365261078,0.4153851568698883
0,D_latent,7,0.9400902390480042,-4.456331729888916,0.0884421318769455,0.44024085998535156
0,D_latent,8,0.9371790885925293,-5.131170749664307,0.09132727980613708,0.4638465642929077
0,D_latent,9,0.9336380958557129,-5.835817337036133,0.09463328868150711,0.48660513758659363
0,D_latent,10,0.9303855299949646,-6.495417594909668,0.09769150614738464,0.5071574449539185
0,D_latent,11,0.9272376894950867,-7.176898956298828,0.10063701122999191,0.527274489402771
0,D_latent,12,0.9242092370986938,-7.85512638092041,0.10347309708595276,0.5459232926368713
0,D_latent,13,0.9212566018104553,-8.486102104187012,0.10622470080852509,0.5631777048110962
0,D_latent,14,0.9187466502189636,-9.125509262084961,0.10863842815160751,0.5794687271118164
0,D_latent,15,0.9168649315834045,-9.76614761352539,0.11059918999671936,0.5951892733573914
1,A_recon,0,0.9116736650466919,-4.677519798278809,0.10046280920505524,0.42654329538345337
1,A_recon,1,0.9096929430961609,-5.951813220977783,0.102639339864254,0.47009408473968506
1,A_recon,2,0.908231794834137,-7.120512962341309,0.10449313372373581,0.5067489743232727
1,A_recon,3,0.9058931469917297,-8.226128578186035,0.10684909671545029,0.5391903519630432
1,A_recon,4,0.9035347700119019,-9.277299880981445,0.10921072214841843,0.5684755444526672
1,A_recon,5,0.9016015529632568,-10.260761260986328,0.11132065206766129,0.5951722860336304
1,A_recon,6,0.8991674184799194,-11.22370433807373,0.11372590065002441,0.6204023361206055
1,A_recon,7,0.8967151641845703,-12.120437622070312,0.11612565815448761,0.6442190408706665
1,A_recon,8,0.8947755098342896,-12.92369556427002,0.11819695681333542,0.666533350944519
1,A_recon,9,0.8926466703414917,-13.694171905517578,0.12036268413066864,0.6881400942802429
1,A_recon,10,0.8909361362457275,-14.348779678344727,0.12227778881788254,0.7079476714134216
1,A_recon,11,0.8893969058990479,-14.928903579711914,0.12407629191875458,0.7267504334449768
1,A_recon,12,0.8873077630996704,-15.497964859008789,0.12617290019989014,0.7450603246688843
1,A_recon,13,0.8855423927307129,-15.933000564575195,0.12806791067123413,0.7612757682800293
1,A_recon,14,0.8839195966720581,-16.31363296508789,0.12985023856163025,0.7767518162727356
1,A_recon,15,0.8822059631347656,-16.67603874206543,0.1316501945257187,0.7913280129432678
1,B_task,0,0.9494653344154358,-1.0165274143218994,0.07598976790904999,0.25789955258369446
1,B_task,1,0.9489638209342957,-1.6790399551391602,0.07715998589992523,0.2959306538105011
1,B_task,2,0.9467584490776062,-2.3806135654449463,0.07959156483411789,0.330649733543396
