seed,arm,space,probe,selectivity_goal,selectivity_vector,selector_bit
1,D_latent,h,mlp,0.8505879640579224,0.4798731803894043,1.0
1,D_latent,z,linear,0.5271140336990356,0.24280112981796265,1.0
1,D_latent,z,mlp,0.7630284428596497,0.44175344705581665,1.0
1,ceiling,frame,linear,0.0037783384323120117,-0.010435819625854492,1.0
1,ceiling,frame,mlp,0.0037783384323120117,-0.010435819625854492,1.0
1,init,h,linear,0.0,-0.03293031454086304,0.9950096899224806
1,init,h,mlp,0.0,0.0,0.9968992248062015
1,init,z,linear,0.0,-0.007626771926879883,0.9908006298449612
1,init,z,mlp,0.0,0.0,0.995718265503876
2,A_recon,h,linear,0.8382549285888672,0.5388993620872498,0.9701732073643411
2,A_recon,h,mlp,0.8410891890525818,0.6123809218406677,0.970718265503876
2,A_recon,z,linear,0.6491158604621887,0.35751068592071533,0.9992248062015504
2,A_recon,z,mlp,0.8751715421676636,0.5984160900115967,0.9992248062015504
2,B_task,h,linear,0.8167634010314941,0.5213414430618286,0.8403645833333333
2,B_task,h,mlp,0.8259088397026062,0.6495907306671143,0.8633660368217054
2,B_task,z,linear,0.5609927177429199,0.32997846603393555,0.9027010658914729
2,B_task,z,mlp,0.8333115577697754,0.48482853174209595,0.9583091085271318
2,C_scene,h,linear,0.43195420503616333,0.5979492664337158,0.537015503875969
2,C_scene,h,mlp,0.3444012999534607,0.6051072478294373,0.5632751937984496
2,C_scene,z,linear,0.231076180934906,0.5669981241226196,0.5500666182170543
2,C_scene,z,mlp,0.25187110900878906,0.5552670955657959,0.5745881782945736
2,D_latent,h,linear,0.8189359307289124,0.5109906792640686,1.0
2,D_latent,h,mlp,0.8255420923233032,0.5332047343254089,0.9965116279069768
2,D_latent,z,linear,0.6285211443901062,0.36229532957077026,1.0
2,D_latent,z,mlp,0.847875714302063,0.5789397358894348,1.0
2,ceiling,frame,linear,0.0037783384323120117,-0.010435819625854492,1.0
2,ceiling,frame,mlp,0.0037783384323120117,-0.010435819625854492,1.0
2,init,h,linear,0.0,0.02177906036376953,0.9689922480620154
2,init,h,mlp,0.0,0.0,0.9684108527131783
2,init,z,linear,0.0,0.012008309364318848,0.9476380813953489
2,init,z,mlp,0.0,0.0,0.9436954941860465
3,A_recon,h,linear,0.07866579294204712,0.04927253723144531,0.9445130813953488
3,A_recon,h,mlp,0.0,0.0,0.9624818313953488
3,A_recon,z,linear,0.21957790851593018,0.15234607458114624,0.9885658914728682
3,A_recon,z,mlp,0.0,0.0,0.9877906976744186
3,B_task,h,linear,0.0,0.0,0.8801053779069767
3,B_task,h,mlp,0.0,0.0,0.8964571220930233
3,B_task,z,linear,0.0,-0.03217899799346924,0.9245276162790698
3,B_task,z,mlp,0.0,0.0,0.9578851744186047
3,C_scene,h,linear,0.0,0.061260998249053955,0.5518229166666666
3,C_scene,h,mlp,0.0,0.0,0.5434593023255814
3,C_scene,z,linear,0.0722317099571228,0.09819650650024414,0.5573037790697675
3,C_scene,z,mlp,0.0,0.0,0.6069888565891473
3,D_latent,h,linear,0.0,0.0,0.9840843023255814
3,D_latent,h,mlp,0.0,0.0,0.985907218992248
3,D_latent,z,linear,0.0,0.00043720006942749023,0.9915758236434109
3,D_latent,z,mlp,0.0,0.0,0.9869973352713178
3,ceiling,frame,linear,0.0037783384323120117,-0.010435819625854492,1.0
3,ceiling,frame,mlp,0.0037783384323120117,-0.010435819625854492,1.0
3,init,h,linear,0.0,0.052348434925079346,0.9986434108527131
3,init,h,mlp,0.0,0.0,0.9994186046511628
3,init,z,linear,0.0,0.01127845048904419,0.9906310562015503
3,init,z,mlp,0.0,0.0,0.9950884205426357
4,A_recon,h,linear,0.7392622232437134,0.6647464036941528,0.9001392926356588
4,A_recon,h,mlp,0.7397117614746094,0.8049125671386719,0.924109738372093
4,A_recon,z,linear,0.6261690258979797,0.5118507146835327,1.0
4,A_recon,z,mlp,0.8355940580368042,0.5919266939163208,1.0
4,B_task,h,linear,0.8718065023422241,0.5269474983215332,0.8972262596899225
4,B_task,h,mlp,0.8796514868736267,0.616060733795166,0.8815770348837209
