seed,arm,space,probe,target,group,metric,score,score_clipped
0,A_recon,h,mlp,agent_position,relevant,r2,-0.20672106742858887,0.0
0,A_recon,h,mlp,agent_velocity,relevant,r2,0.486095666885376,0.486095666885376
0,A_recon,h,mlp,active_goal,relevant,r2,-0.5775995254516602,0.0
0,A_recon,h,mlp,agent_to_active_goal,relevant,r2,-0.45750129222869873,0.0
0,A_recon,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.865469217300415,0.0
0,A_recon,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.5080446004867554,0.0
0,A_recon,h,mlp,ring_position,identity,r2,-0.7893341779708862,0.0
0,A_recon,h,mlp,plus_position,identity,r2,-0.5670642852783203,0.0
0,A_recon,h,mlp,distractor_positions,irrelevant,r2,-0.901225209236145,0.0
0,A_recon,h,mlp,distractor_heatmap,irrelevant,r2,-0.3722497224807739,0.0
0,A_recon,h,mlp,distractor_hues,irrelevant,r2,-0.737606406211853,0.0
0,A_recon,h,mlp,background_sat_val,irrelevant,r2,-0.19558477401733398,0.0
0,A_recon,h,mlp,background_hue_within_band,irrelevant,r2,0.08762383460998535,0.08762383460998535
0,A_recon,h,mlp,selector_bit,relevant,balanced_acc,0.9169270833333334,0.9169270833333334
0,B_task,z,linear,agent_position,relevant,r2,0.025521814823150635,0.025521814823150635
0,B_task,z,linear,agent_velocity,relevant,r2,-0.02284383773803711,0.0
0,B_task,z,linear,active_goal,relevant,r2,-0.026763439178466797,0.0
0,B_task,z,linear,agent_to_active_goal,relevant,r2,-0.010722756385803223,0.0
0,B_task,z,linear,inactive_goal,goal-like irrelevant,r2,-0.0688941478729248,0.0
0,B_task,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,-0.0414811372756958,0.0
0,B_task,z,linear,ring_position,identity,r2,-0.11666548252105713,0.0
0,B_task,z,linear,plus_position,identity,r2,-0.052276015281677246,0.0
0,B_task,z,linear,distractor_positions,irrelevant,r2,-0.0034095048904418945,0.0
0,B_task,z,linear,distractor_heatmap,irrelevant,r2,0.02069312334060669,0.02069312334060669
0,B_task,z,linear,distractor_hues,irrelevant,r2,-0.0032547712326049805,0.0
0,B_task,z,linear,background_sat_val,irrelevant,r2,0.029986321926116943,0.029986321926116943
0,B_task,z,linear,background_hue_within_band,irrelevant,r2,-6607.43603515625,0.0
0,B_task,z,linear,selector_bit,relevant,balanced_acc,0.903954699612403,0.903954699612403
0,B_task,z,mlp,agent_position,relevant,r2,-0.2440270185470581,0.0
0,B_task,z,mlp,agent_velocity,relevant,r2,-0.2084522247314453,0.0
0,B_task,z,mlp,active_goal,relevant,r2,-0.4090467691421509,0.0
0,B_task,z,mlp,agent_to_active_goal,relevant,r2,-0.340612530708313,0.0
0,B_task,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.4890444278717041,0.0
0,B_task,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,-0.39528846740722656,0.0
0,B_task,z,mlp,ring_position,identity,r2,-0.43650615215301514,0.0
0,B_task,z,mlp,plus_position,identity,r2,-0.33021843433380127,0.0
0,B_task,z,mlp,distractor_positions,irrelevant,r2,-0.09989011287689209,0.0
0,B_task,z,mlp,distractor_heatmap,irrelevant,r2,0.03137868642807007,0.03137868642807007
0,B_task,z,mlp,distractor_hues,irrelevant,r2,-0.13444089889526367,0.0
0,B_task,z,mlp,background_sat_val,irrelevant,r2,-0.028966188430786133,0.0
0,B_task,z,mlp,background_hue_within_band,irrelevant,r2,0.44361913204193115,0.44361913204193115
0,B_task,z,mlp,selector_bit,relevant,balanced_acc,0.9439983042635659,0.9439983042635659
