seed,model,subset,horizon,n,err_px,median_px
0,baseline_linear,all,24,1500,37.25011485068334,37.976865178335146
0,baseline_linear,all,25,1500,39.45397157219024,40.57870883027876
0,baseline_linear,no_bounce,1,225,0.9674541866192408,0.3380575112808402
0,baseline_linear,no_bounce,2,225,1.8641460513670882,0.4773397445066123
0,baseline_linear,no_bounce,3,225,2.706644472340256,0.6118196253915387
0,baseline_linear,no_bounce,4,225,3.576728661550666,0.7435038680613647
0,baseline_linear,no_bounce,5,225,4.429960796565762,0.8710515488213447
0,baseline_linear,no_bounce,6,225,5.289658724267164,1.0457754046558707
0,baseline_linear,no_bounce,7,225,6.163068857796984,1.153514817740569
0,baseline_linear,no_bounce,8,225,7.038115927131428,1.2667858996091834
0,baseline_linear,no_bounce,9,225,7.896838416100317,1.4291040342827752
0,baseline_linear,no_bounce,10,225,8.741495782262607,1.5190402788576753
0,baseline_linear,no_bounce,11,225,9.605920342005115,1.6515736846752713
0,baseline_linear,no_bounce,12,225,10.451553932814988,1.7321949277845836
0,baseline_linear,no_bounce,13,225,11.301527829803911,1.8430451443522302
0,baseline_linear,no_bounce,14,225,12.144031534033186,1.890103550499192
0,baseline_linear,no_bounce,15,225,13.017896916362949,1.980826236503529
0,baseline_linear,no_bounce,16,225,13.876857531127929,2.1638619615701704
0,baseline_linear,no_bounce,17,225,14.73075068736898,2.317914566481463
0,baseline_linear,no_bounce,18,225,15.564068180959449,2.36024323545637
0,baseline_linear,no_bounce,19,225,16.412674199383403,2.49846486550597
0,baseline_linear,no_bounce,20,225,17.24546194751693,2.519271380122282
0,baseline_linear,no_bounce,21,225,18.089743689075576,2.7881387978708108
0,baseline_linear,no_bounce,22,225,18.95655699931132,2.8057935243927403
0,baseline_linear,no_bounce,23,225,19.828346043961904,2.9045957224438115
0,baseline_linear,no_bounce,24,225,20.682287633237728,3.2628913686111654
0,baseline_linear,no_bounce,25,225,21.544979995613605,3.3824353401723184
0,baseline_linear,bounce,1,1275,0.5297264786322167,0.26505043082432006
0,baseline_linear,bounce,2,1275,1.0603831820465377,0.41508680335650877
0,baseline_linear,bounce,3,1275,1.711716973897491,0.5428450584991729
0,baseline_linear,bounce,4,1275,2.4907430665729997,0.6948429183001885
0,baseline_linear,bounce,5,1275,3.395111425761131,0.888726388788105
0,baseline_linear,bounce,6,1275,4.4349471670816305,1.1086849944843558
0,baseline_linear,bounce,7,1275,5.568238915979486,1.3342531527788895
0,baseline_linear,bounce,8,1275,6.816172136610017,1.7283209746823287
0,baseline_linear,bounce,9,1275,8.18654637515455,2.3565975936210064
0,baseline_linear,bounce,10,1275,9.686580131240126,4.130642064472902
0,baseline_linear,bounce,11,1275,11.308295130267092,6.380838591316298
0,baseline_linear,bounce,12,1275,13.050981492120362,8.654019666272662
0,baseline_linear,bounce,13,1275,14.923735541217162,11.24140592957496
0,baseline_linear,bounce,14,1275,16.892300391034897,13.956600435999528
0,baseline_linear,bounce,15,1275,18.96516549436317,16.53224453180573
0,baseline_linear,bounce,16,1275,21.120283017663592,19.148641514113795
0,baseline_linear,bounce,17,1275,23.348760304820786,21.800216138719914
0,baseline_linear,bounce,18,1275,25.640158060197336,24.434001188797794
0,baseline_linear,bounce,19,1275,28.006934562061545,26.85627205344533
0,baseline_linear,bounce,20,1275,30.39769780461206,29.65536042148137
0,baseline_linear,bounce,21,1275,32.82139131830671,32.05540098309835
0,baseline_linear,bounce,22,1275,35.261381499096686,34.631975618639885
0,baseline_linear,bounce,23,1275,37.71975415745656,37.580632159095074
0,baseline_linear,bounce,24,1275,40.17384906552668,40.180697270996525
0,baseline_linear,bounce,25,1275,42.61438185040965,42.59188232482162
1,A_recon,all,1,1500,0.7318803668022156,0.6577377319335938
