arm,seed,dim,mse_increase
B_task,1,31,0.0005188765935599804
B_task,2,0,0.00033006444573402405
B_task,2,1,0.004307596478611231
B_task,2,2,0.007823869585990906
B_task,2,3,0.00190045777708292
B_task,2,4,0.00084651168435812
B_task,2,5,0.003890195395797491
B_task,2,6,6.993114948272705e-05
B_task,2,7,0.0009434865787625313
B_task,2,8,0.00012835022062063217
B_task,2,9,0.0030673411674797535
B_task,2,10,0.002513027284294367
B_task,2,11,0.001265465747565031
B_task,2,12,0.003959211986511946
B_task,2,13,0.009661568328738213
B_task,2,14,0.00023939786478877068
B_task,2,15,0.0003209589049220085
B_task,2,16,0.0021581794135272503
B_task,2,17,0.0029325978830456734
B_task,2,18,0.0046937051229178905
B_task,2,19,0.0040658931247889996
B_task,2,20,3.929436206817627e-05
B_task,2,21,0.0016866764053702354
B_task,2,22,0.0009691393934190273
B_task,2,23,0.0020246291533112526
B_task,2,24,0.0016548288986086845
B_task,2,25,0.009536877274513245
B_task,2,26,0.00022702105343341827
B_task,2,27,0.0011745798401534557
B_task,2,28,0.006437292788177729
B_task,2,29,0.004164108540862799
B_task,2,30,0.00026740552857518196
B_task,2,31,0.0002366499975323677
B_task,3,0,0.00044805346988141537
B_task,3,1,0.0007863871287554502
B_task,3,2,0.0048030074685812
B_task,3,3,0.005824011750519276
B_task,3,4,0.0071029141545295715
B_task,3,5,0.00032590259797871113
B_task,3,6,0.00011637178249657154
B_task,3,7,0.0016599169466644526
B_task,3,8,7.292046211659908e-05
B_task,3,9,0.0017114004585891962
B_task,3,10,0.0018664260860532522
B_task,3,11,0.002441297983750701
B_task,3,12,0.0010592301841825247
B_task,3,13,0.00023919041268527508
B_task,3,14,0.006165605038404465
B_task,3,15,0.0026073080953210592
B_task,3,16,0.00010892190039157867
B_task,3,17,0.0015030542854219675
B_task,3,18,0.0004893315490335226
B_task,3,19,0.011861216276884079
B_task,3,20,2.954714000225067e-05
B_task,3,21,0.0032115678768604994
B_task,3,22,0.0008356000762432814
B_task,3,23,0.000579384621232748
B_task,3,24,0.01271961908787489
B_task,3,25,0.002633030293509364
B_task,3,26,0.0014069911558181047
B_task,3,27,0.005286789499223232
B_task,3,28,0.0020910080056637526
B_task,3,29,0.00012418907135725021
B_task,3,30,0.0046898555010557175
B_task,3,31,0.0006987445522099733
C_scene,0,0,0.00017696281429380178
C_scene,0,1,0.0006868526106700301
C_scene,0,2,0.0031562955118715763
C_scene,0,3,0.0007771420059725642
C_scene,0,4,0.0012048619100823998
C_scene,0,5,0.0006673532770946622
C_scene,0,6,0.0019069990376010537
C_scene,0,7,4.084769170731306e-05
C_scene,0,8,0.00029478000942617655
C_scene,0,9,0.0007455033482983708
C_scene,0,10,0.000476804212667048
C_scene,0,11,4.445586819201708e-05
C_scene,0,12,0.0005066165467724204
C_scene,0,13,0.0001571377506479621
C_scene,0,14,0.0010668685426935554
C_scene,0,15,0.0018241818761453032
C_scene,0,16,0.0003679540241137147
C_scene,0,17,0.00013472943101078272
C_scene,0,18,0.001848944346420467
C_scene,0,19,0.00046929519157856703
C_scene,0,20,0.0012955899583175778
C_scene,0,21,0.001460548141039908
C_scene,0,22,0.0009325059363618493
C_scene,0,23,0.00020129687618464231
C_scene,0,24,0.00022403302136808634
C_scene,0,25,0.001035939552821219
C_scene,0,26,0.0005047748563811183
C_scene,0,27,0.00016647519078105688
C_scene,0,28,0.00045797612983733416
C_scene,0,29,0.00033538800198584795
C_scene,0,30,0.0006144387880340219
C_scene,0,31,0.0005158650455996394
C_scene,1,0,0.004402455408126116
C_scene,1,1,0.0010569033911451697
C_scene,1,2,0.002491599880158901
C_scene,1,3,0.0003360464470461011
C_scene,1,4,9.886990301311016e-05
C_scene,1,5,0.0006411549402400851
C_scene,1,6,0.00014831603039056063
C_scene,1,7,0.0010663765715435147
C_scene,1,8,8.257292211055756e-05
C_scene,1,9,0.0019201942486688495
C_scene,1,10,3.2627955079078674e-05
C_scene,1,11,0.001753229764290154
C_scene,1,12,0.0002897609956562519
C_scene,1,13,0.00026821508072316647
C_scene,1,14,0.0009725427953526378
C_scene,1,15,0.0005639939336106181
C_scene,1,16,0.0015267314156517386
C_scene,1,17,0.0021178903989493847
C_scene,1,18,6.67243730276823e-05
C_scene,1,19,0.00018713215831667185
C_scene,1,20,0.0011541867861524224
C_scene,1,21,0.0007712702499702573
C_scene,1,22,0.0013328398345038295
C_scene,1,23,0.001843812526203692
C_scene,1,24,4.725751932710409e-05
C_scene,1,25,0.0017183985328301787
C_scene,1,26,0.0015094982227310538
C_scene,1,27,6.823497824370861e-05
C_scene,1,28,0.00033218145836144686
C_scene,1,29,0.00019476551096886396
C_scene,1,30,6.276066415011883e-06
C_scene,1,31,0.00031506933737546206
C_scene,2,0,0.0002812468446791172
C_scene,2,1,0.0014723504427820444
C_scene,2,2,0.0005531925708055496
C_scene,2,3,0.001649057725444436
C_scene,2,4,0.000569232739508152
C_scene,2,5,0.00013021612539887428
C_scene,2,6,0.001139284810051322
C_scene,2,7,0.0018930912483483553
C_scene,2,8,0.00016404385678470135
C_scene,2,9,7.03700352460146e-05
C_scene,2,10,9.900727309286594e-05
C_scene,2,11,0.0005795466713607311
C_scene,2,12,0.00021277298219501972
C_scene,2,13,0.0015551175456494093
C_scene,2,14,0.00014727958478033543
C_scene,2,15,0.00035129301249980927
C_scene,2,16,0.0009011849761009216
C_scene,2,17,0.0003554068971425295
