seed,vs,horizon,delta_px,b_worse_frac
0,D_latent,7,-17.368820190429688,0.0006666666666666666
0,D_latent,8,-17.43276596069336,0.0013333333333333333
0,D_latent,9,-17.444822311401367,0.0013333333333333333
0,D_latent,10,-17.413864135742188,0.0013333333333333333
0,D_latent,11,-17.349117279052734,0.004666666666666667
0,D_latent,12,-17.227588653564453,0.004666666666666667
0,D_latent,13,-17.0782413482666,0.004
0,D_latent,14,-16.892324447631836,0.0033333333333333335
0,D_latent,15,-16.701555252075195,0.004666666666666667
0,D_latent,16,-16.499114990234375,0.004666666666666667
0,D_latent,17,-16.291643142700195,0.01
0,D_latent,18,-16.10680389404297,0.008666666666666666
0,D_latent,19,-15.923078536987305,0.011333333333333334
0,D_latent,20,-15.766362190246582,0.011333333333333334
0,D_latent,21,-15.645323753356934,0.014
0,D_latent,22,-15.512471199035645,0.015333333333333332
0,D_latent,23,-15.381043434143066,0.018666666666666668
0,D_latent,24,-15.265738487243652,0.016666666666666666
0,D_latent,25,-15.157804489135742,0.017333333333333333
1,A_recon,1,-0.06682034581899643,0.436
1,A_recon,2,-0.07955221831798553,0.448
1,A_recon,3,-0.07636088877916336,0.45666666666666667
1,A_recon,4,-0.06427060812711716,0.4746666666666667
1,A_recon,5,-0.05916142091155052,0.47533333333333333
1,A_recon,6,-0.0517270602285862,0.48333333333333334
1,A_recon,7,-0.0616956390440464,0.472
1,A_recon,8,-0.07508192211389542,0.47333333333333333
1,A_recon,9,-0.08402029424905777,0.4593333333333333
1,A_recon,10,-0.08084580302238464,0.47533333333333333
1,A_recon,11,-0.09030991792678833,0.48333333333333334
1,A_recon,12,-0.089365154504776,0.482
1,A_recon,13,-0.08217479288578033,0.4746666666666667
1,A_recon,14,-0.08507668226957321,0.4766666666666667
1,A_recon,15,-0.09279506653547287,0.468
1,A_recon,16,-0.10332383215427399,0.4653333333333333
1,A_recon,17,-0.109763965010643,0.4646666666666667
1,A_recon,18,-0.11050178855657578,0.4726666666666667
1,A_recon,19,-0.10327150672674179,0.4706666666666667
1,A_recon,20,-0.10671169310808182,0.4673333333333333
1,A_recon,21,-0.10906638950109482,0.4653333333333333
1,A_recon,22,-0.11501258611679077,0.4666666666666667
1,A_recon,23,-0.11694032698869705,0.472
1,A_recon,24,-0.1203920915722847,0.476
1,A_recon,25,-0.12901490926742554,0.4686666666666667
1,C_scene,1,-0.12427874654531479,0.41
1,C_scene,2,-0.17393282055854797,0.398
1,C_scene,3,-0.20858724415302277,0.37733333333333335
1,C_scene,4,-0.22642403841018677,0.38066666666666665
1,C_scene,5,-0.23545874655246735,0.384
1,C_scene,6,-0.2424212247133255,0.38866666666666666
1,C_scene,7,-0.25050854682922363,0.396
1,C_scene,8,-0.2518533170223236,0.3973333333333333
1,C_scene,9,-0.24935857951641083,0.412
1,C_scene,10,-0.25270190834999084,0.4093333333333333
1,C_scene,11,-0.26799166202545166,0.4
