seed,model,horizon,mse,r2,pred_spread_ratio
0,colourblind_true,4,0.5899868011474609,0.3967784643173218,0.630239725112915
0,colourblind_true,5,0.5996533036231995,0.3967324495315552,0.6297944784164429
0,colourblind_true,6,0.6094671487808228,0.3968932628631592,0.6293942332267761
0,colourblind_true,7,0.6192450523376465,0.3970327377319336,0.6290982365608215
0,colourblind_true,8,0.6288595795631409,0.3970561623573303,0.6289796829223633
0,colourblind_true,9,0.6383267641067505,0.39720284938812256,0.6290193200111389
0,colourblind_true,10,0.6476681232452393,0.39713144302368164,0.6292756795883179
0,colourblind_true,11,0.6569207310676575,0.39681363105773926,0.6298205256462097
0,colourblind_true,12,0.6660208702087402,0.396628737449646,0.6305855512619019
0,colourblind_true,13,0.6747955679893494,0.39637434482574463,0.6315467357635498
0,colourblind_true,14,0.6831504106521606,0.39607030153274536,0.6326819658279419
0,colourblind_true,15,0.6909179091453552,0.39607882499694824,0.633853018283844
1,A_recon,0,0.07959550619125366,0.9128363132476807,0.9742498397827148
1,A_recon,1,0.07896184176206589,0.9148858785629272,0.9797022342681885
1,A_recon,2,0.08056935667991638,0.9145083427429199,0.9790675044059753
1,A_recon,3,0.08340192586183548,0.912933886051178,0.9787428975105286
1,A_recon,4,0.08698277175426483,0.9106554985046387,0.9783662557601929
1,A_recon,5,0.09085150063037872,0.9081791639328003,0.9776179194450378
1,A_recon,6,0.09543287754058838,0.9051275253295898,0.9766835570335388
1,A_recon,7,0.10034098476171494,0.9018456935882568,0.9756091833114624
1,A_recon,8,0.10490944236516953,0.8989496827125549,0.974067747592926
1,A_recon,9,0.10977305471897125,0.8958584070205688,0.9721885919570923
1,A_recon,10,0.11482594907283783,0.892623245716095,0.9702362418174744
1,A_recon,11,0.11951253563165665,0.8897566199302673,0.9677215218544006
1,A_recon,12,0.12487619370222092,0.8863480091094971,0.9648887515068054
1,A_recon,13,0.13064615428447723,0.8825935125350952,0.9618628621101379
1,A_recon,14,0.1359943002462387,0.8792211413383484,0.9586423635482788
1,A_recon,15,0.1418999582529068,0.8753950595855713,0.9554138779640198
1,B_task,0,0.0550629161298275,0.9397015571594238,0.955197274684906
1,B_task,1,0.05429328978061676,0.9414764642715454,0.9554285407066345
1,B_task,2,0.05696023255586624,0.9395598769187927,0.9567332863807678
1,B_task,3,0.061206478625535965,0.9361044764518738,0.9576705694198608
1,B_task,4,0.06621557474136353,0.9319865703582764,0.9586353302001953
1,B_task,5,0.07140183448791504,0.9278363585472107,0.9603189826011658
1,B_task,6,0.07697993516921997,0.9234721064567566,0.9619845151901245
1,B_task,7,0.08263960480690002,0.919161319732666,0.9632788896560669
1,B_task,8,0.08771981298923492,0.9155069589614868,0.9646186232566833
1,B_task,9,0.09291766583919525,0.9118490815162659,0.965357780456543
1,B_task,10,0.09804750978946686,0.9083132147789001,0.9652265906333923
1,B_task,11,0.10295862704515457,0.9050266742706299,0.9648409485816956
1,B_task,12,0.10829512774944305,0.9014387726783752,0.9636492729187012
1,B_task,13,0.1140267476439476,0.8975287675857544,0.9617776274681091
1,B_task,14,0.11966431140899658,0.8937240839004517,0.9598265290260315
1,B_task,15,0.12566477060317993,0.8896514773368835,0.9573538899421692
1,C_scene,0,0.05557681620121002,0.9391387701034546,0.9593157768249512
1,C_scene,1,0.055105049163103104,0.9406014680862427,0.970028817653656
1,C_scene,2,0.05722259357571602,0.9392814636230469,0.9739608764648438
1,C_scene,3,0.060887254774570465,0.936437726020813,0.9763635993003845
1,C_scene,4,0.06496474891901016,0.9332713484764099,0.9783535599708557
1,C_scene,5,0.069331593811512,0.9299286603927612,0.9804446697235107
1,C_scene,6,0.07429149001836777,0.9261447787284851,0.982402503490448
1,C_scene,7,0.07942711561918259,0.9223037958145142,0.9842629432678223
1,C_scene,8,0.08450087159872055,0.9186075329780579,0.9859702587127686
1,C_scene,9,0.09006388485431671,0.9145564436912537,0.9871976971626282
1,C_scene,10,0.09586053341627121,0.9103583097457886,0.9879922270774841
1,C_scene,11,0.10154933482408524,0.9063266515731812,0.9882712960243225
1,C_scene,12,0.1073436588048935,0.9023047089576721,0.9877106547355652
1,C_scene,13,0.11316637694835663,0.898301899433136,0.9867764115333557
1,C_scene,14,0.11883139610290527,0.894463837146759,0.985589325428009
1,C_scene,15,0.12475980818271637,0.890446126461029,0.983799934387207
1,D_latent,0,0.04691889509558678,0.9486199021339417,0.95211261510849
1,D_latent,1,0.04812962934374809,0.9481203556060791,0.9472588300704956
1,D_latent,2,0.051546767354011536,0.9453040361404419,0.9448989033699036
1,D_latent,3,0.05608297884464264,0.9414530396461487,0.9440281391143799
1,D_latent,4,0.06117236614227295,0.937166690826416,0.9441276788711548
