seed,arm,space,probe,target,group,metric,score,score_clipped
0,C_scene,z,mlp,agent_velocity,relevant,r2,-0.40259480476379395,0.0
0,C_scene,z,mlp,active_goal,relevant,r2,0.8540489077568054,0.8540489077568054
0,C_scene,z,mlp,agent_to_active_goal,relevant,r2,0.8290756940841675,0.8290756940841675
0,C_scene,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.24964940547943115,0.0
0,C_scene,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.21434354782104492,0.21434354782104492
0,C_scene,z,mlp,ring_position,identity,r2,-0.3344827890396118,0.0
0,C_scene,z,mlp,plus_position,identity,r2,-0.232354998588562,0.0
0,C_scene,z,mlp,distractor_positions,irrelevant,r2,0.11518824100494385,0.11518824100494385
0,C_scene,z,mlp,distractor_hues,irrelevant,r2,0.08042728900909424,0.08042728900909424
0,C_scene,z,mlp,background_sat_val,irrelevant,r2,0.6271865367889404,0.6271865367889404
0,C_scene,z,mlp,background_hue_within_band,irrelevant,r2,-0.6616561412811279,0.0
0,C_scene,z,mlp,selector_bit,relevant,balanced_acc,0.6775859980620155,0.6775859980620155
0,C_scene,h,linear,agent_position,relevant,r2,0.8411737084388733,0.8411737084388733
0,C_scene,h,linear,agent_velocity,relevant,r2,0.7569332122802734,0.7569332122802734
0,C_scene,h,linear,active_goal,relevant,r2,0.8891041278839111,0.8891041278839111
0,C_scene,h,linear,agent_to_active_goal,relevant,r2,0.9038270711898804,0.9038270711898804
0,C_scene,h,linear,inactive_goal,goal-like irrelevant,r2,-0.21992206573486328,0.0
0,C_scene,h,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.23310667276382446,0.23310667276382446
0,C_scene,h,linear,ring_position,identity,r2,-0.44525325298309326,0.0
0,C_scene,h,linear,plus_position,identity,r2,-0.3459070920944214,0.0
0,C_scene,h,linear,distractor_positions,irrelevant,r2,-0.056703805923461914,0.0
0,C_scene,h,linear,distractor_hues,irrelevant,r2,0.12403404712677002,0.12403404712677002
0,C_scene,h,linear,background_sat_val,irrelevant,r2,0.23200571537017822,0.23200571537017822
0,C_scene,h,linear,background_hue_within_band,irrelevant,r2,-6806.3984375,0.0
0,C_scene,h,linear,selector_bit,relevant,balanced_acc,0.6374636627906977,0.6374636627906977
0,C_scene,h,mlp,agent_position,relevant,r2,0.8631497621536255,0.8631497621536255
0,C_scene,h,mlp,agent_velocity,relevant,r2,0.6908182501792908,0.6908182501792908
0,C_scene,h,mlp,active_goal,relevant,r2,0.8842224478721619,0.8842224478721619
0,C_scene,h,mlp,agent_to_active_goal,relevant,r2,0.914913535118103,0.914913535118103
0,C_scene,h,mlp,inactive_goal,goal-like irrelevant,r2,-0.3684753179550171,0.0
0,C_scene,h,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.2209119200706482,0.2209119200706482
0,C_scene,h,mlp,ring_position,identity,r2,-0.6845648288726807,0.0
0,C_scene,h,mlp,plus_position,identity,r2,-0.5752735137939453,0.0
0,C_scene,h,mlp,distractor_positions,irrelevant,r2,-0.47283709049224854,0.0
0,C_scene,h,mlp,distractor_hues,irrelevant,r2,-0.1243131160736084,0.0
0,C_scene,h,mlp,background_sat_val,irrelevant,r2,0.03855180740356445,0.03855180740356445
0,C_scene,h,mlp,background_hue_within_band,irrelevant,r2,-0.827723503112793,0.0
0,C_scene,h,mlp,selector_bit,relevant,balanced_acc,0.592108769379845,0.592108769379845
0,D_latent,z,linear,agent_position,relevant,r2,0.738463282585144,0.738463282585144
0,D_latent,z,linear,agent_velocity,relevant,r2,-0.02906322479248047,0.0
0,D_latent,z,linear,active_goal,relevant,r2,0.875806450843811,0.875806450843811
0,D_latent,z,linear,agent_to_active_goal,relevant,r2,0.7967941164970398,0.7967941164970398
0,D_latent,z,linear,inactive_goal,goal-like irrelevant,r2,0.3499014377593994,0.3499014377593994
0,D_latent,z,linear,agent_to_inactive_goal,goal-like irrelevant,r2,0.5078430771827698,0.5078430771827698
0,D_latent,z,linear,ring_position,identity,r2,0.27032697200775146,0.27032697200775146
0,D_latent,z,linear,plus_position,identity,r2,0.7271583080291748,0.7271583080291748
0,D_latent,z,linear,distractor_positions,irrelevant,r2,-0.0719214677810669,0.0
0,D_latent,z,linear,distractor_hues,irrelevant,r2,-0.1357051134109497,0.0
0,D_latent,z,linear,background_sat_val,irrelevant,r2,0.07938265800476074,0.07938265800476074
0,D_latent,z,linear,background_hue_within_band,irrelevant,r2,-7981.5009765625,0.0
0,D_latent,z,linear,selector_bit,relevant,balanced_acc,1.0,1.0
0,D_latent,z,mlp,agent_position,relevant,r2,0.7320000529289246,0.7320000529289246
0,D_latent,z,mlp,agent_velocity,relevant,r2,-0.6467540264129639,0.0
0,D_latent,z,mlp,active_goal,relevant,r2,0.8961592316627502,0.8961592316627502
0,D_latent,z,mlp,agent_to_active_goal,relevant,r2,0.8333581686019897,0.8333581686019897
0,D_latent,z,mlp,inactive_goal,goal-like irrelevant,r2,-0.009515643119812012,0.0
0,D_latent,z,mlp,agent_to_inactive_goal,goal-like irrelevant,r2,0.3468141555786133,0.3468141555786133
0,D_latent,z,mlp,ring_position,identity,r2,-0.04328560829162598,0.0
0,D_latent,z,mlp,plus_position,identity,r2,0.8119783997535706,0.8119783997535706
0,D_latent,z,mlp,distractor_positions,irrelevant,r2,-0.6912914514541626,0.0
0,D_latent,z,mlp,distractor_hues,irrelevant,r2,-0.7942289113998413,0.0
0,D_latent,z,mlp,background_sat_val,irrelevant,r2,0.05040335655212402,0.05040335655212402
0,D_latent,z,mlp,background_hue_within_band,irrelevant,r2,0.7227938175201416,0.7227938175201416
0,D_latent,z,mlp,selector_bit,relevant,balanced_acc,1.0,1.0
0,D_latent,h,linear,agent_position,relevant,r2,0.8689219951629639,0.8689219951629639
0,D_latent,h,linear,agent_velocity,relevant,r2,0.7734477519989014,0.7734477519989014
0,D_latent,h,linear,active_goal,relevant,r2,0.9185130596160889,0.9185130596160889
0,D_latent,h,linear,agent_to_active_goal,relevant,r2,0.9046255350112915,0.9046255350112915
