model,horizon,r2_mean,r2_std,mse_mean,mse_std
hold_current,0,1.0,0.0,0.0,0.0
hold_current,1,0.9926138718922933,3.441275768999911e-08,0.0068522859364748,3.157371127552763e-05
hold_current,2,0.9715001384417216,6.882551540403526e-08,0.026859108358621597,0.0001237030649469577
hold_current,3,0.9391822814941406,5.960464477539063e-08,0.058258517334858574,0.0002683477003798479
hold_current,4,0.8986589511235555,1.3765103083210753e-07,0.09866289546092351,0.00045437801730345686
hold_current,5,0.8522509137789408,1.240769624547429e-07,0.1461902310450872,0.0006733689796629084
hold_current,6,0.8015993436177572,4.186492662636935e-07,0.19957362115383148,0.0009193424355475491
hold_current,7,0.7482741276423136,2.093246331397501e-07,0.2573351760705312,0.0011857458402706354
hold_current,8,0.6932984789212545,3.878120838647572e-07,0.31841668486595154,0.0014666475810189814
hold_current,9,0.637005607287089,6.565535720919438e-07,0.3826257288455963,0.0017623908631804461
hold_current,10,0.5799388488133749,1.0865933826690711e-06,0.44920535882314044,0.0020686691580419736
hold_current,11,0.5226888060569763,8.65807476421234e-07,0.5174468954404196,0.0023837996664402127
hold_current,12,0.4655759533246358,1.2592436375222083e-06,0.5872076352437338,0.0027044424724284558
hold_current,13,0.4091078042984009,2.7314279645418166e-07,0.6575300693511963,0.003028484057345586
hold_current,14,0.3540133436520894,5.633611233511067e-07,0.7273712952931722,0.0033507081528962187
hold_current,15,0.30058679978052777,1.3412148818710879e-06,0.7964954574902853,0.0036695924639381875
