arm,seed,epoch,task_mse,aux,mse_k0,mse_k1,mse_kH,z_norm,z_dim_std,z_eff_rank,nonfinite_batches,sec
A_recon,0,20,0.8315590568210768,0.01967421303624692,0.8217468,0.7900593,0.87848896,5.656853675842285,0.20532003045082092,8.042470932006836,0,4.9107067584991455
A_recon,0,21,0.8293559032937755,0.018419808667639027,0.82174236,0.78773457,0.87496334,5.656850337982178,0.28806644678115845,9.677009582519531,0,5.010260581970215
A_recon,0,22,0.8150593301524287,0.017884546000024548,0.8056274,0.77333534,0.86015874,5.656852722167969,0.2604309320449829,9.503910064697266,0,4.946823835372925
A_recon,0,23,0.7982616424560547,0.017296322014020836,0.7896216,0.75859886,0.84326106,5.656849384307861,0.34789544343948364,10.654850006103516,0,4.972480058670044
A_recon,0,24,0.7860998070758322,0.017615504886793053,0.7780397,0.74722964,0.83086246,5.656848430633545,0.3943467140197754,11.117364883422852,0,5.034857511520386
A_recon,0,25,0.7869414453921111,0.018246610527453216,0.7816796,0.74617803,0.8332717,5.656849384307861,0.39577311277389526,11.648415565490723,0,5.056519269943237
A_recon,0,26,0.7692739237909731,0.018068842265916908,0.76490074,0.7306352,0.81362695,5.656844139099121,0.47789114713668823,12.622271537780762,0,5.095346689224243
A_recon,0,27,0.7584847160007643,0.016090921733690346,0.75242287,0.7207785,0.8034309,5.656843185424805,0.46964722871780396,13.276596069335938,0,5.091747283935547
A_recon,0,28,0.74627337248429,0.01605393057284148,0.7402382,0.7081608,0.79213434,5.656828880310059,0.5497854351997375,13.959121704101562,0,5.020259618759155
A_recon,0,29,0.7324350605840269,0.01574933269749517,0.73043245,0.6972842,0.7765144,5.656835556030273,0.595655620098114,14.789875030517578,0,4.99904465675354
A_recon,0,30,0.7309941830842391,0.017325739497723786,0.7293965,0.6988928,0.772433,5.6568403244018555,0.48362022638320923,14.931031227111816,0,4.971210718154907
A_recon,0,31,0.7230465101159137,0.015474534553030262,0.71906346,0.6891026,0.765648,5.656839370727539,0.5903342366218567,15.715383529663086,0,4.953961610794067
A_recon,0,32,0.6943946506666101,0.0161993814551312,0.69529104,0.6641299,0.73571396,5.656836032867432,0.6061822175979614,16.038419723510742,0,4.965610980987549
A_recon,0,33,0.6754910842232082,0.015778445679208507,0.67708415,0.6460426,0.7177149,5.656841278076172,0.6067311763763428,16.77272605895996,0,4.940652847290039
A_recon,0,34,0.6579434353372325,0.015627312919367916,0.65905184,0.6320939,0.6981786,5.656825065612793,0.6965624094009399,17.154897689819336,0,4.943336725234985
A_recon,0,35,0.640358427296514,0.01577912335810454,0.6445341,0.6197597,0.67702323,5.656830310821533,0.6737760305404663,17.549596786499023,0,4.9516777992248535
A_recon,0,36,0.6085778111996858,0.014842165553051493,0.61073095,0.5872102,0.6477622,5.656819820404053,0.6831009387969971,18.177406311035156,0,4.940658092498779
A_recon,0,37,0.5528532525767451,0.014793627935907116,0.5511196,0.53271055,0.5936163,5.656798362731934,0.7072533369064331,18.69249725341797,0,4.965605974197388
A_recon,0,38,0.43852561453114386,0.014140354550403097,0.4300949,0.42136073,0.4813962,5.656786918640137,0.7169544696807861,18.439422607421875,0,4.9708335399627686
A_recon,0,39,0.35194090138310974,0.014660751042158707,0.33543912,0.3393379,0.39184713,5.656764984130859,0.7018873691558838,18.339691162109375,0,4.964112281799316
