seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories
2,B_task,0,0.926428496837616,0.04419976472854614
2,B_task,1,0.9287129640579224,-0.12493062019348145
2,B_task,2,0.9281873106956482,-0.3531954288482666
2,B_task,3,0.9264369606971741,-0.6056152582168579
2,B_task,4,0.924022376537323,-0.8888497352600098
2,B_task,5,0.921582043170929,-1.2126307487487793
2,B_task,6,0.9190346598625183,-1.573772668838501
2,B_task,7,0.9162326455116272,-1.9696805477142334
2,B_task,8,0.9135369062423706,-2.394845485687256
2,B_task,9,0.9104855060577393,-2.835897922515869
2,B_task,10,0.9070533514022827,-3.2929248809814453
2,B_task,11,0.9035201668739319,-3.7330288887023926
2,B_task,12,0.8996142745018005,-4.173580646514893
2,B_task,13,0.8953695893287659,-4.577230930328369
2,B_task,14,0.8910893797874451,-4.962014198303223
2,B_task,15,0.8866607546806335,-5.285711765289307
2,C_scene,0,0.9547126889228821,0.677716851234436
2,C_scene,1,0.9553079605102539,0.6249196529388428
2,C_scene,2,0.9531924724578857,0.5498896837234497
2,C_scene,3,0.9499449729919434,0.45835310220718384
2,C_scene,4,0.9465447664260864,0.3517938256263733
2,C_scene,5,0.9430655837059021,0.22851455211639404
2,C_scene,6,0.9392499327659607,0.0900312066078186
2,C_scene,7,0.9356879591941833,-0.0658409595489502
2,C_scene,8,0.9325263500213623,-0.23305213451385498
2,C_scene,9,0.9292454719543457,-0.41139471530914307
2,C_scene,10,0.9260703921318054,-0.5951727628707886
2,C_scene,11,0.9230313301086426,-0.7830319404602051
2,C_scene,12,0.9194812178611755,-0.9711297750473022
2,C_scene,13,0.9157127141952515,-1.1608877182006836
2,C_scene,14,0.912040650844574,-1.3466801643371582
2,C_scene,15,0.9081279635429382,-1.5304675102233887
2,D_latent,0,0.9429697394371033,0.753650426864624
2,D_latent,1,0.9460873007774353,0.7039822340011597
2,D_latent,2,0.9457749128341675,0.6430721282958984
2,D_latent,3,0.943867027759552,0.5649320483207703
2,D_latent,4,0.9415159225463867,0.4711960554122925
2,D_latent,5,0.9388638138771057,0.36416763067245483
2,D_latent,6,0.9359784126281738,0.24545717239379883
2,D_latent,7,0.9332464337348938,0.11495977640151978
2,D_latent,8,0.9305106401443481,-0.02671074867248535
2,D_latent,9,0.9276809692382812,-0.17933738231658936
2,D_latent,10,0.924971878528595,-0.3414417505264282
2,D_latent,11,0.9221574664115906,-0.5122003555297852
2,D_latent,12,0.919126570224762,-0.6914805173873901
2,D_latent,13,0.9161449670791626,-0.8761863708496094
2,D_latent,14,0.9130902290344238,-1.0632545948028564
2,D_latent,15,0.9099283814430237,-1.2528822422027588
